iter	Passed	Remaining
413	3985	827
414	3999	819
415	4008	809
416	4016	799
417	4024	789
418	4032	779
419	4041	769
420	4049	759
421	4057	750
422	4065	740
423	4073	730
424	4081	720
425	4090	710
426	4098	700
427	4106	690
428	4114	680
429	4123	671
430	4132	661
431	4140	651
432	4148	641
433	4156	632
434	4164	622
435	4172	612
436	4180	602
437	4188	592
438	4196	583
439	4204	573
440	4212	563
441	4220	553
442	4228	544
443	4236	534
444	4245	524
445	4252	514
446	4260	505
447	4268	495
448	4276	485
449	4284	476
450	4292	466
451	4301	456
452	4309	447
453	4317	437
454	4325	427
455	4333	418
456	4341	408
457	4350	398
458	4357	389
459	4366	379
460	4374	370
461	4382	360
462	4391	350
463	4399	341
464	4406	331
465	4414	322
466	4422	312
467	4430	302
468	4439	293
469	4447	283
470	4455	274
471	4463	264
472	4471	255
473	4480	245
474	4488	236
475	4496	226
476	4504	217
477	4512	207
478	4520	198
479	4529	188
480	4538	179
481	4546	169
482	4554	160
483	4564	150
484	4574	141
485	4583	132
486	4592	122
487	4601	113
488	4614	103
489	4626	94
490	4640	85
491	4671	75
492	4694	66
493	4704	57
494	4714	47
495	4722	38
496	4730	28
497	4737	19
498	4745	9
499	4754	0
