iter	RMSE
0	0.5068441945
1	0.4896961257
2	0.4737432239
3	0.4584774087
4	0.4444784191
5	0.4306477106
6	0.417988671
7	0.4058713393
8	0.394581233
9	0.3840534599
10	0.3735557757
11	0.363963132
12	0.3546200878
13	0.3465115853
14	0.3386828481
15	0.3311747392
16	0.3240024212
17	0.3171904666
18	0.3104031506
19	0.3043041166
20	0.2983551927
21	0.2928423177
22	0.2876820533
23	0.2828312031
24	0.2784486857
25	0.2738855256
26	0.2700952716
27	0.2662474025
28	0.2622836826
29	0.2587626936
30	0.2554950564
31	0.2523658594
32	0.249681492
33	0.2469794799
34	0.2443374748
35	0.2419719
36	0.2396499418
37	0.2368090386
38	0.2346600579
39	0.2323113051
40	0.2300578722
41	0.2283464297
42	0.2266467698
43	0.2251045407
44	0.2235059004
45	0.2220956809
46	0.2202394685
47	0.2189342896
48	0.2174874947
49	0.2161464137
50	0.2149932193
51	0.21340233
52	0.2122957275
53	0.2107587833
54	0.2098265976
55	0.2090093306
56	0.2081032584
57	0.2072237327
58	0.2063642968
59	0.2055674045
60	0.2048651411
61	0.2040987496
62	0.2032839581
63	0.2023442515
64	0.2016699824
65	0.2010151566
66	0.2003571319
67	0.1997900671
68	0.1991674745
69	0.1982460476
70	0.1975612655
71	0.1970627838
72	0.1966180948
73	0.1958478228
74	0.1953317613
75	0.1946288699
76	0.1941045186
77	0.1935555581
78	0.1931482276
79	0.1926760366
80	0.1923376032
81	0.1918685447
82	0.1914553318
83	0.1910810445
84	0.1906568693
85	0.1902933351
86	0.1898436209
87	0.1895159378
88	0.1891685446
89	0.1888212982
90	0.188537954
91	0.1881478761
92	0.1877933433
93	0.1875181412
94	0.1871729448
95	0.1869222983
96	0.1865752428
97	0.1860996678
98	0.1855447563
99	0.1852391793
100	0.1848902776
101	0.184643543
102	0.1843949922
103	0.1839442906
104	0.1837081597
105	0.1834131919
106	0.1831374314
107	0.1829352255
108	0.1827275033
109	0.1825425177
110	0.1822313395
111	0.1820376485
112	0.1818405951
113	0.181666325
114	0.1814964312
115	0.1813022789
116	0.1811248532
117	0.180928333
118	0.1806826931
119	0.1803984857
120	0.1802550099
121	0.1800589892
122	0.1799162649
123	0.179733312
124	0.1794191146
125	0.1792101328
126	0.1790520249
127	0.1788633454
128	0.1784927787
129	0.1781999812
130	0.1780673919
131	0.1779177101
132	0.1777206639
133	0.1775630108
134	0.1774008918
135	0.1772873131
136	0.1771463913
137	0.1769679052
138	0.1768635789
139	0.176728152
140	0.1765012331
141	0.1763059706
142	0.1761400644
143	0.1760535593
144	0.1759365432
145	0.1757484137
146	0.1756261455
147	0.1754605805
148	0.1753154886
149	0.1751927684
150	0.175112793
151	0.1749998834
152	0.1748711636
153	0.1747132609
154	0.1745686915
155	0.174452631
156	0.1743338471
157	0.1742050111
158	0.1740873104
159	0.1739709441
160	0.1738696132
161	0.1737606477
162	0.173658333
163	0.1734982739
164	0.1734183027
165	0.1732945826
166	0.1730693205
167	0.1729913727
168	0.1728699761
169	0.1727341314
170	0.1725371848
171	0.1723718274
172	0.1722567617
173	0.1721063131
174	0.1719740939
175	0.1718499345
176	0.1717281232
177	0.1715315367
178	0.1714413551
179	0.1713245468
