iter	RMSE
0	0.2587465202
1	0.2467047284
2	0.2348426137
3	0.2239649183
4	0.2128462769
5	0.2024894436
6	0.1931291879
7	0.1844971528
8	0.1766880759
9	0.1691910564
10	0.162194743
11	0.1557944649
12	0.1502420972
13	0.14500667
14	0.1397974288
15	0.1348645966
16	0.1306125921
17	0.1266469957
18	0.1227312308
19	0.1192708967
20	0.1161532238
21	0.1128937937
22	0.1099409423
23	0.1070998047
24	0.104342239
25	0.1022681165
26	0.1000353164
27	0.09787576781
28	0.09603601106
29	0.09410112478
30	0.09237170386
31	0.09078587936
32	0.08916097431
33	0.08787750764
34	0.08660723819
35	0.08528338654
36	0.08415469878
37	0.0831495353
38	0.08204810141
39	0.08103120978
40	0.08006574124
41	0.07911545832
42	0.07844730524
43	0.07759474816
44	0.07681441844
45	0.07606319777
46	0.07539379117
47	0.07482768149
48	0.07427579996
49	0.0737226008
50	0.07316417347
51	0.07265572078
52	0.07221002944
53	0.07171283319
54	0.07127744239
55	0.07082867778
56	0.07047028165
57	0.07021023772
58	0.06972245287
59	0.06932812479
60	0.06898016713
61	0.06864000424
62	0.06831972224
63	0.06795374815
64	0.06769715563
65	0.06739812612
66	0.06709458914
67	0.06682591356
68	0.06665571712
69	0.06639683486
70	0.06622008851
71	0.06591760924
72	0.06569795857
73	0.06547460455
74	0.06523220418
75	0.06505838195
76	0.06485862719
77	0.06467843859
78	0.0644629368
79	0.06424246662
80	0.06407771374
81	0.06388944682
82	0.06380423409
83	0.06362078625
84	0.06341515711
85	0.06329746705
86	0.06310727305
87	0.06297788273
88	0.06281811798
89	0.0626435408
90	0.06250481526
91	0.06239900437
92	0.0622309407
93	0.06211345599
94	0.06201446441
95	0.06188712799
96	0.06178913504
97	0.06168764433
98	0.06152362149
99	0.06140941411
100	0.06130737622
101	0.06120479898
102	0.06106829943
103	0.06098554438
104	0.06088118938
105	0.06079520863
106	0.06064931054
107	0.06055760415
108	0.06044570584
109	0.06035777332
110	0.06028415369
111	0.06017832314
112	0.06009707071
113	0.06000884652
114	0.0599249411
115	0.05983558656
116	0.05976164408
117	0.05969852496
118	0.05962091452
119	0.05950526682
120	0.0594171488
121	0.05933883537
122	0.05919248459
123	0.05908592979
124	0.05902496227
125	0.05895300254
126	0.05887093166
127	0.05880435717
128	0.05870069397
129	0.0585754922
130	0.05850240997
131	0.05844005731
132	0.05836163598
133	0.05822141926
134	0.0581335967
135	0.05803985679
136	0.05795896296
137	0.05784938775
138	0.05777594876
139	0.05769693295
140	0.05763739765
141	0.05759210229
142	0.05752653617
143	0.05745373053
144	0.05739241936
145	0.05726200059
146	0.05714944749
147	0.05708135429
148	0.05700136763
149	0.05692039776
150	0.05681692321
151	0.0567016852
152	0.05661691076
153	0.05652284113
154	0.05645004015
155	0.05633658588
156	0.05627616174
157	0.05618071505
158	0.05610610843
159	0.05602950771
160	0.05598408021
161	0.05594219736
162	0.05581573453
163	0.05572261265
164	0.05561308793
165	0.05551237372
166	0.0554682369
167	0.05540184077
168	0.05533029754
169	0.05525964577
170	0.05518807533
171	0.05507936339
172	0.05498214915
173	0.05491146379
174	0.05482200113
175	0.05476703051
176	0.05465891279
177	0.05454885627
178	0.05449777449
179	0.0544203956
180	0.05433407151
181	0.05422802606
182	0.05413141904
183	0.05404508571
184	0.05395345202
185	0.05384067393
186	0.05375212871
187	0.05363320274
188	0.05358826848
189	0.05355696472
190	0.05350202504
191	0.05342899239
192	0.05333449208
193	0.0532680524
194	0.05321370761
195	0.05314718418
196	0.05308832373
197	0.05300399473
198	0.05292941722
199	0.05284894415
200	0.05273327735
201	0.05270372623
202	0.05264003381
203	0.05258381912
204	0.05252081034
205	0.0524560842
206	0.05239431007
207	0.05232357987
208	0.05228036462
209	0.05222484029
210	0.05216725049
211	0.05209818564
212	0.05200611678
213	0.05193182186
214	0.05186433175
215	0.05180774775
216	0.051766725
217	0.05170553128
218	0.0516448261
219	0.05157914185
220	0.05152374597
221	0.05147598349
222	0.05141782219
223	0.05136835806
224	0.0512747749
225	0.05120594239
226	0.05113263895
227	0.05107542345
228	0.05101947947
229	0.05096214841
230	0.05089576828
231	0.05082674039
232	0.05077421402
233	0.05071517302
234	0.05065433923
235	0.05059613292
236	0.05055395038
237	0.05046680081
238	0.05042458682
239	0.05035299427
240	0.05031281845
241	0.05024534573
242	0.05020091575
243	0.05014958118
244	0.05009176309
245	0.05003341958
246	0.04998744121
247	0.04992737151
248	0.04989069885
249	0.04985040649
